Date,Daily_Spread,Daily_Spread_VolScaled,Cumulative_Value
2021-01-28,0.04634069366731852,0.014536078969412947,2.268692663253421
2021-01-29,0.08827103168379986,0.02700496268512987,2.3299586239686074
2021-02-01,0.04965737870736198,0.015090821753025055,2.365119614254841
2021-02-02,0.052303265505352255,0.01580072341125356,2.402490215114213
2021-02-03,0.0456856983663049,0.013731305816252709,2.4354795429785008
2021-02-04,0.013895477557283714,0.004208155987239698,2.4457284207990857
2021-02-05,0.045186714232656994,0.013665095053010943,2.4791495321431554
2021-02-08,0.04074846519164519,0.012397411968317317,2.509884570224195
2021-02-09,0.05794754644494898,0.017448226676239034,2.5536776051366616
2021-02-10,0.01353893921990975,0.004079082993735649,2.564094268027258
2021-02-11,0.028975028649547496,0.008755279276142204,2.586543629434192
2021-02-12,0.016776469544662276,0.00506864049136014,2.599653889207012
2021-02-16,0.007377825134119609,0.0022771017009072924,2.6055735654998955
2021-02-17,0.00795937193859445,0.0024556450295577805,2.6119719292751626
2021-02-18,0.0027951391938624438,0.0008634613465726521,2.6142272660744243
2021-02-19,0.015590083765370364,0.0048818531404882905,2.6269895396632603
2021-02-22,0.000509609990605342,0.00015998053105892228,2.6274098068449017
2021-02-23,0.015011200307926676,0.0048024724953973745,2.6400278701764117
2021-02-24,0.007829141856637498,0.0025072451134272714,2.6466470671532236
2021-02-25,0.002617782671052735,0.0008553968276554154,2.6489110006583902
2021-02-26,0.032070495335216886,0.010651601615690362,2.677126145352823
2021-03-01,0.035613317712856814,0.011794454624288225,2.708701388197683
2021-03-02,0.053687941822199624,0.01756987684761047,2.756292938005268
2021-03-03,0.02847738051430883,0.009373697328465646,2.782129593754717
2021-03-04,0.02360471185887171,0.007920342903269317,2.8041650141385874
2021-03-05,0.015878341062084148,0.005327578370323013,2.819104423014729
2021-03-08,0.01820743881434543,0.006109333910115335,2.8363272732624085
2021-03-09,-0.00907135148350965,-0.003029158760911627,2.8277355876537933
2021-03-10,0.02377747719834185,0.007954646661144258,2.850229225104722
2021-03-11,-0.03399625218500759,-0.011089979794868497,2.818620240587567
2021-03-12,-0.03819645212517017,-0.012164180035939592,2.7843340365281164
